datetime,Mean_temp (K) 16,Mean_temp (K) 17
4/8/2019 20:10,244.4933636,244.4942795
4/8/2019 20:20,244.4791803,244.4730372
4/8/2019 20:30,244.4648178,244.4582604
4/8/2019 20:40,244.4478483,244.4420661
4/8/2019 20:50,244.4357917,244.4320689
4/8/2019 21:00,244.4175228,244.4113568
4/8/2019 21:10,244.3946212,244.2894764
4/8/2019 21:20,244.3873443,244.2741565
4/8/2019 21:30,244.3724284,244.2586524
4/8/2019 21:40,244.3590869,244.2449213
4/8/2019 21:50,244.3458055,244.226514
4/8/2019 22:00,244.329959,244.2109728
4/8/2019 22:10,244.3136145,244.1960213
4/8/2019 22:20,244.2969257,244.185632
4/8/2019 22:30,244.2841775,244.1695774
4/8/2019 22:40,244.2704398,244.1568035
4/8/2019 22:50,244.2592527,244.1444713
4/8/2019 23:00,244.2404224,244.1284419
4/8/2019 23:10,244.2321164,244.1139587
4/8/2019 23:20,244.2097078,244.0992032
4/8/2019 23:30,244.1984264,244.0838029
4/8/2019 23:40,244.1811034,244.0633718
4/8/2019 23:50,244.1657103,244.0484551
4/9/2019 0:00,244.1515571,244.036927
4/9/2019 0:10,244.1356685,244.0161633
4/9/2019 0:20,244.1181538,244.0018498
4/9/2019 0:30,244.1002915,243.9963471
4/9/2019 0:40,244.0815924,243.9721495
4/9/2019 0:50,244.0625825,243.9628061
4/9/2019 1:00,244.0540809,243.9411442
4/9/2019 1:10,244.0329867,243.9232912
4/9/2019 1:20,244.0145652,243.9010285
4/9/2019 1:30,243.9978591,243.9136754
4/9/2019 1:40,243.9827593,243.8877741
4/9/2019 1:50,243.9714726,243.8751116
4/9/2019 2:00,243.9566153,243.8661263
4/9/2019 2:10,243.9458576,243.856663
4/9/2019 2:20,243.9285632,243.8536823
4/9/2019 2:30,243.9125234,243.845962
4/9/2019 2:40,243.9056436,243.8408346
4/9/2019 2:50,243.8937089,243.8376365
4/9/2019 3:00,243.8841794,243.8258366
4/9/2019 3:10,243.8833385,243.821735
4/9/2019 3:20,243.8747078,243.8203736
4/9/2019 3:30,243.8727559,243.8186945
4/9/2019 3:40,243.8797097,243.818911
4/9/2019 3:50,243.8825173,243.8211471
4/9/2019 4:00,243.8821928,243.8282309
4/9/2019 4:10,243.8796335,243.8240023
4/9/2019 4:20,243.8836178,243.8298376
4/9/2019 4:30,243.8863074,243.8326489
4/9/2019 4:40,243.875241,243.8315711
4/9/2019 4:50,243.9012457,243.8382755
4/9/2019 5:00,243.9502279,243.840004
4/9/2019 5:10,243.9521643,243.8380193
4/9/2019 5:20,243.9353995,243.8405305
4/9/2019 5:30,243.906316,243.8357956
4/9/2019 5:40,243.9038329,243.8287852
4/9/2019 5:50,243.8951234,243.8169789
4/9/2019 6:00,243.8867335,243.8019331
4/9/2019 6:10,243.8816792,243.7758137
4/9/2019 6:20,243.8669887,243.7606427
4/9/2019 6:30,243.8508374,243.742649
4/9/2019 6:40,243.8309766,243.7200034
4/9/2019 6:50,243.8141662,243.6962549
4/9/2019 7:00,243.7988223,243.6889214
4/9/2019 7:10,243.7797626,243.6663133
